t_us,ch1,ch2,ch3,ch4,pc_time,label
366856163,1381,888,1105,1261,1770289237.825705,center
366860164,1451,925,1139,1322,1770289237.829668,center
366864162,1402,825,1023,1227,1770289237.8337011,center
366868162,1363,827,1013,1203,1770289237.837682,center
366872162,1382,874,1079,1246,1770289237.841666,center
366876163,1455,932,1146,1322,1770289237.845703,center
366880164,1430,846,1054,1248,1770289237.8496902,center
366884162,1371,813,999,1195,1770289237.8535979,center
366888162,1367,858,1060,1221,1770289237.8577092,center
366892163,1441,931,1149,1318,1770289237.8617249,center
366896164,1428,864,1079,1274,1770289237.865715,center
366900164,1362,801,987,1187,1770289237.869645,center
366904162,1348,847,1045,1206,1770289237.873715,center
366908162,1428,934,1149,1315,1770289237.877739,center
366912163,1442,879,1098,1292,1770289237.8817348,center
366916164,1358,791,975,1183,1770289237.8856902,center
366920164,1338,839,1027,1198,1770289237.889769,center
366924162,1400,918,1128,1295,1770289237.8937678,center
366928162,1438,903,1126,1312,1770289237.897762,center
366932163,1356,785,971,1182,1770289237.90169,center
366936164,1339,837,1026,1200,1770289237.9057422,center
366940164,1399,907,1121,1288,1770289237.909836,center
366944162,1453,913,1130,1318,1770289237.913826,center
366948162,1371,788,975,1188,1770289237.917592,center
366952163,1350,838,1026,1200,1770289237.9216719,center
366956164,1390,895,1112,1274,1770289237.925676,center
366960164,1460,923,1140,1326,1770289237.929746,center
366964162,1403,814,1005,1221,1770289237.93378,center
366968162,1365,832,1019,1199,1770289237.93783,center
366972163,1384,881,1093,1254,1770289237.941799,center
366976164,1452,926,1141,1321,1770289237.945825,center
366980162,1415,840,1039,1234,1770289237.949803,center
366984162,1362,820,1006,1195,1770289237.953838,center
366988162,1368,862,1066,1225,1770289237.957812,center
366992163,1440,930,1146,1317,1770289237.9618618,center
366996164,1423,857,1071,1261,1770289237.965806,center
367000164,1362,807,991,1190,1770289237.969764,center
367004162,1352,850,1051,1211,1770289237.973845,center
367008162,1435,934,1149,1316,1770289237.9778821,center
367012163,1438,874,1092,1283,1770289237.9818492,center
367016164,1356,793,977,1184,1770289237.985805,center
367020164,1343,842,1030,1202,1770289237.989967,center
367024162,1414,925,1136,1304,1770289237.993901,center
